City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,13.78,82,100,1.0,US,1714997777
1,cuatro cienegas de carranza,26.9833,-102.0833,21.35,95,13,1.34,MX,1714998047
2,iqaluit,63.7506,-68.5145,-4.15,79,75,1.03,CA,1714998047
3,loukhi,66.0764,33.0381,2.17,56,87,4.87,RU,1714998047
4,salinas,36.6777,-121.6555,7.69,84,0,2.57,US,1714998047
5,rio gallegos,-51.6226,-69.2181,0.03,100,100,4.63,AR,1714997861
6,tahe,52.3333,124.7333,10.54,41,90,0.59,CN,1714998047
7,tazovsky,67.4667,78.7,-5.35,92,100,6.04,RU,1714998047
8,prineville,44.2999,-120.8345,6.06,81,100,3.09,US,1714998047
9,olonkinbyen,70.9221,-8.7187,0.93,91,100,11.14,SJ,1714998047
10,constantia,44.1833,28.65,20.39,68,9,8.4,RO,1714998047
11,nemuro,43.3236,145.575,7.16,98,100,7.05,JP,1714998047
12,blackmans bay,-43.0167,147.3167,11.52,80,75,2.12,AU,1714998047
13,bethel,41.3712,-73.414,12.8,90,100,2.06,US,1714997810
14,at taj,24.2049,23.2857,31.15,9,0,3.62,LY,1714998047
15,nepean,45.3449,-75.7631,13.85,91,20,3.09,CA,1714998047
16,adamstown,-25.066,-130.1015,21.85,78,100,9.44,PN,1714998047
17,goondiwindi,-28.55,150.3167,17.68,61,0,4.82,AU,1714998047
18,grytviken,-54.2811,-36.5092,1.63,92,75,4.4,GS,1714998047
19,codrington,-38.2667,141.9667,10.81,90,26,3.18,AU,1714998047
20,mar del plata,-38.0023,-57.5575,14.49,82,100,6.17,AR,1714997846
21,port-aux-francais,-49.35,70.2167,5.86,82,69,9.12,TF,1714998048
22,puerto natales,-51.7236,-72.4875,-2.75,86,0,3.6,CL,1714998048
23,waitangi,-43.9535,-176.5597,12.12,92,98,1.34,NZ,1714998048
24,quibala,-10.7337,14.98,28.14,32,42,2.0,AO,1714998048
25,raiwala bara,30.0167,78.2167,37.97,12,1,3.95,IN,1714998048
26,vadso,70.0744,29.7487,0.09,80,75,3.09,NO,1714998048
27,invercargill,-46.4,168.35,7.23,80,99,3.13,NZ,1714998048
28,dampit,-8.2116,112.7493,21.17,98,11,1.57,ID,1714997784
29,purificacion,3.8587,-74.9313,22.83,96,100,0.3,CO,1714998048
30,avarua,-21.2078,-159.775,27.03,89,75,6.17,CK,1714998048
31,margaret river,-33.95,115.0667,15.0,79,13,3.5,AU,1714998048
32,puerto ayora,-0.7393,-90.3518,23.64,97,67,1.85,EC,1714998048
33,udachny,66.4167,112.4,2.47,88,97,10.16,RU,1714998048
34,cabaiguan,22.0789,-79.4992,23.14,90,3,2.52,CU,1714998048
35,susuman,62.7833,148.1667,0.55,79,51,0.89,RU,1714998048
36,qamdo,31.1667,97.2333,11.47,24,100,4.47,CN,1714998048
37,jamestown,42.097,-79.2353,13.9,96,40,1.79,US,1714997801
38,ushuaia,-54.8,-68.3,0.81,93,75,3.09,AR,1714997948
39,cayeli,41.0923,40.7292,11.45,84,100,1.76,TR,1714998048
40,kulunda,52.566,78.9385,11.79,29,43,4.86,RU,1714998048
41,acarau,-2.8856,-40.12,27.05,82,97,4.66,BR,1714998027
42,hawaiian paradise park,19.5933,-154.9731,20.02,97,75,2.06,US,1714998048
43,newman,37.3138,-121.0208,8.9,84,0,0.89,US,1714998048
44,yellowknife,62.456,-114.3525,6.34,81,20,4.12,CA,1714998049
45,tura,25.5198,90.2201,29.84,48,1,1.67,IN,1714998049
46,ancud,-41.8697,-73.8203,10.08,71,100,11.78,CL,1714997905
47,lihue,21.9789,-159.3672,22.77,83,100,7.2,US,1714998049
48,isafjordur,66.0755,-23.124,6.02,66,75,5.14,IS,1714998049
49,florida,28.7505,-82.5001,22.78,83,0,0.0,US,1714997760
50,berezovyy,51.6667,135.7,4.41,66,47,2.03,RU,1714998049
51,truth or consequences,33.1284,-107.2528,18.13,17,0,5.66,US,1714998049
52,georgetown,5.4112,100.3354,31.97,68,40,2.57,MY,1714997987
53,rikaze,29.25,88.8833,11.86,34,80,4.75,CN,1714998049
54,ghat,24.9647,10.1728,33.79,20,74,4.39,LY,1714998049
55,ugoofaaru,5.6667,73.0,30.23,74,96,3.3,MV,1714998049
56,la'ie,21.6477,-157.9253,23.03,82,100,3.13,US,1714998049
57,port elizabeth,-33.918,25.5701,27.28,64,0,3.6,ZA,1714998049
58,tabou,4.423,-7.3528,29.37,73,100,3.27,CI,1714998049
59,mount pearl,47.5166,-52.7813,11.29,54,75,6.69,CA,1714998049
60,ilulissat,69.2167,-51.1,-6.99,68,75,5.66,GL,1714998049
61,cabugao,17.7931,120.4578,29.92,74,8,7.57,PH,1714998049
62,yuzhno-kurilsk,44.0306,145.8556,5.76,99,100,3.15,RU,1714998049
63,walvis bay,-22.9575,14.5053,17.83,83,17,4.62,NA,1714998049
64,port macquarie,-31.4333,152.9167,15.5,73,60,7.44,AU,1714997892
65,ust-nera,64.5667,143.2,-4.47,92,31,1.73,RU,1714998049
66,portage,41.1667,-81.1998,15.46,80,100,1.54,US,1714998049
67,achikulak,44.5517,44.8378,15.91,50,75,1.15,RU,1714998049
68,bahia blanca,-38.7196,-62.2724,10.43,43,64,3.98,AR,1714997961
69,papatowai,-46.5619,169.4708,5.41,81,100,3.95,NZ,1714998050
70,mazamari,-11.3258,-74.5308,22.01,90,68,0.51,PE,1714998050
71,kapa'a,22.0752,-159.319,23.18,87,100,7.2,US,1714998050
72,edinburgh of the seven seas,-37.0676,-12.3116,14.03,66,72,13.76,SH,1714998050
73,weno,7.4515,151.8468,27.97,83,75,2.57,FM,1714998050
74,lata,40.1629,-8.3327,18.84,43,8,4.27,PT,1714998050
75,el granada,37.5027,-122.4694,10.06,89,75,2.57,US,1714998050
76,cedeira,43.6797,-8.0209,17.22,73,34,6.36,ES,1714998050
77,badger,64.8,-147.5333,5.93,59,75,3.6,US,1714998050
78,toyooka,35.5333,134.8333,19.29,84,99,5.95,JP,1714998050
79,kruisfontein,-34.0033,24.7314,26.05,42,0,4.42,ZA,1714998050
80,murudeshwara,14.0943,74.4845,30.47,67,49,5.23,IN,1714998050
81,maumere,-8.6199,122.2111,26.21,86,100,2.73,ID,1714998050
82,hoeyang,38.7103,127.5983,11.22,98,100,1.45,KP,1714998050
83,lebu,-37.6167,-73.65,11.94,76,91,8.78,CL,1714997900
84,ribeira grande,38.5167,-28.7,19.32,94,75,11.62,PT,1714998050
85,new norfolk,-42.7826,147.0587,12.18,88,50,0.77,AU,1714998050
86,kerikeri,-35.2268,173.9474,10.51,92,79,1.93,NZ,1714998050
87,tolanaro,-25.0319,46.9987,27.32,51,0,3.03,MG,1714998050
88,hasaki,35.7333,140.8333,20.22,77,100,11.63,JP,1714998050
89,dudinka,69.4058,86.1778,-5.18,82,100,3.58,RU,1714998050
90,lobujya,27.95,86.8167,-5.43,98,100,2.41,NP,1714998050
91,carbonear,47.7332,-53.2148,12.0,76,99,5.01,CA,1714998051
92,longyearbyen,78.2186,15.6401,-4.09,68,75,1.54,SJ,1714998051
93,berbera,10.4396,45.0143,31.03,67,18,3.84,SO,1714998051
94,whitehorse,60.7161,-135.0538,1.43,100,40,2.06,CA,1714997971
95,cockburn town,21.4612,-71.1419,25.21,84,65,8.76,TC,1714998051
96,aasiaat,68.7098,-52.8699,-10.01,86,82,3.49,GL,1714998051
97,anadyr,64.75,177.4833,-8.72,100,20,3.0,RU,1714998051
98,kailua-kona,19.6406,-155.9956,22.98,93,100,3.6,US,1714998051
99,kovalam,8.3667,76.9967,33.05,62,20,6.17,IN,1714998051
100,pacific grove,36.6177,-121.9166,7.46,81,0,2.57,US,1714998051
101,petropavlovsk-kamchatsky,53.0452,158.6483,1.54,78,75,3.58,RU,1714998051
102,juan griego,11.0817,-63.9655,28.35,76,63,4.92,VE,1714998051
103,sao joao da barra,-21.6403,-41.0511,28.05,85,0,2.26,BR,1714998051
104,korla,41.7597,86.1469,31.04,6,41,6.99,CN,1714998051
105,whitecourt,54.1502,-115.6855,6.58,81,75,2.57,CA,1714998051
106,karratha,-20.7377,116.8463,26.77,60,0,3.13,AU,1714998051
107,cabo san lucas,22.8909,-109.9124,22.01,59,100,3.93,MX,1714998051
108,roanoke rapids,36.4615,-77.6542,22.32,100,100,2.57,US,1714998051
109,port hedland,-20.3167,118.5667,25.03,69,5,0.0,AU,1714998051
110,bilibino,68.0546,166.4372,-6.21,67,18,2.04,RU,1714998051
111,fale old settlement,-9.3852,-171.2468,29.76,76,100,5.19,TK,1714998051
112,piton saint-leu,-21.2196,55.3151,25.06,61,0,10.29,RE,1714998051
113,kingston,17.997,-76.7936,28.53,74,20,3.6,JM,1714998051
114,kamakwie,9.5,-12.2333,35.26,45,90,2.59,SL,1714998051
115,lodja,-3.4833,23.4333,36.22,27,34,1.79,CD,1714998052
116,tofol,5.3248,163.0078,28.65,81,99,8.41,FM,1714998052
117,sitka,57.0531,-135.33,5.94,75,75,2.57,US,1714998052
118,howard springs,-12.497,131.047,27.95,88,56,1.36,AU,1714998052
119,kristiansund,63.1115,7.732,13.03,76,40,4.63,NO,1714998052
120,bredasdorp,-34.5322,20.0403,25.82,25,0,4.76,ZA,1714998052
121,nar'yan-mar,67.6713,53.087,-3.83,84,91,5.81,RU,1714998052
122,chonchi,-42.6128,-73.8092,4.56,96,100,2.57,CL,1714997903
123,crane,31.3974,-102.3501,20.57,85,89,5.75,US,1714998052
124,college,64.8569,-147.8028,5.97,55,75,3.6,US,1714998052
125,lae,-6.7221,146.9847,24.07,89,100,2.42,PG,1714998052
126,grand-bassam,5.2118,-3.7388,31.98,65,95,4.73,CI,1714998052
127,utrik,11.2278,169.8474,27.63,78,100,8.15,MH,1714998052
128,lompoc,34.6391,-120.4579,9.77,85,0,4.63,US,1714998052
129,praia da vitoria,38.7333,-27.0667,20.14,94,75,10.83,PT,1714998052
130,holualoa,19.6228,-155.9522,20.91,93,100,3.6,US,1714998052
131,kidal,18.4411,1.4078,41.52,11,31,3.73,ML,1714998015
132,east london,-33.0153,27.9116,26.52,41,0,4.12,ZA,1714998052
133,butembo,0.15,29.2833,21.27,72,26,1.23,CD,1714998052
134,viersen,51.25,6.3833,18.1,79,40,0.51,DE,1714997901
135,fort bragg,35.139,-79.006,22.68,88,100,3.6,US,1714998052
136,paramonga,-10.6667,-77.8333,18.0,94,86,4.82,PE,1714998052
137,nuku'alofa,-21.1333,-175.2,25.19,94,100,4.63,TO,1714998052
138,timbuktu,16.7735,-3.0074,42.48,3,2,5.82,ML,1714998053
139,hovd,48.0056,91.6419,23.96,14,59,6.05,MN,1714998053
140,tidjikja,18.5564,-11.4271,39.12,7,0,3.97,MR,1714998053
141,corner brook,48.9667,-57.9484,9.09,67,84,3.56,CA,1714998053
